ItemCliente;ItemSmarkets;CodigoPDM;TituloPDM;TextLongoPDM;NCM;Status
CANETA FIXA COM CORRENTE;CANETA FIXA COM CORRENTE;CESFE;CANETA ESFEROGRAFICA;"CANETA ESFEROGRAFICA; MATERIAL CORPO METAL; COR CORPO ALUMINIO; FORMATO CORPO REDONDO; ESPESSURA ESCRITA MEDIA; COR ESCRITA AZUL; ACIONAMENTO CARGA RETRATIL; ACESSORIO CORRENTE; FORNECIMENTO 1 UNIDADE";9608.10.00;TOTAL
CANETA HID. OFFICE PEN 2.0MM AZ;CANETA HID. OFFICE PEN 2.0MM AZ;CHIDR;CANETA HIDROGRAFICA;"CANETA HIDROGRAFICA; MATERIAL CORPO PLASTICO; ESCRITA 2,0MM ; COR AZUL; FABRICANTE-REFERENCIA PILOT-OFFICE PEN";9608.20.00;TOTAL
CANETA HID. OFFICE PEN 2.0MM PT;CANETA HID. OFFICE PEN 2.0MM PT;CHIDR;CANETA HIDROGRAFICA;"CANETA HIDROGRAFICA; MATERIAL CORPO PLASTICO; ESCRITA 2,0MM ; COR PRETO; FABRICANTE-REFERENCIA PILOT-OFFICE PEN";9608.20.00;TOTAL
CANETA HID. OFFICE PEN 2.0MM VM;CANETA HID. OFFICE PEN 2.0MM VM;CHIDR;CANETA HIDROGRAFICA;"CANETA HIDROGRAFICA; MATERIAL CORPO PLASTICO; ESCRITA 2,0MM ; COR VERMELHO; FABRICANTE-REFERENCIA PILOT-OFFICE PEN";9608.20.00;TOTAL
CANETA IDENTIPEN  (E 12);CANETA IDENTIPEN  (E 12);MCANE;CANETA MARCADORA;"CANETA MARCADORA; TIPO MARCACAO PERMANENTE; TAMANHO PONTA 2 PONTAS 1 / 4MM; TINTA BASE ALCOOL; APLICACAO CD/DVD-VIDRO-PLASTICO-ACRILICO-VINIL; COR; FABRICANTE-REFERENCIA SAKURA-IDENT PEN";;PARCIAL
CANETA MARCA TEXTO - AMARELA;CANETA MARCA TEXTO - AMARELA;CMTEX;CANETA MARCA TEXTO;"CANETA MARCA TEXTO; MATERIAL CORPO PLASTICO; TIPO ; TIPO PONTA ; ESPESSURA PONTA ; COR AMARELO";9608.20.00;PARCIAL
CANETA MARCA TEXTO - AZUL;CANETA MARCA TEXTO - AZUL;CMTEX;CANETA MARCA TEXTO;"CANETA MARCA TEXTO; MATERIAL CORPO PLASTICO; TIPO ; TIPO PONTA ; ESPESSURA PONTA ; COR AZUL";9608.20.00;PARCIAL
CANETA MARCA TEXTO - LARANJA;CANETA MARCA TEXTO - LARANJA;CMTEX;CANETA MARCA TEXTO;"CANETA MARCA TEXTO; MATERIAL CORPO PLASTICO; TIPO ; TIPO PONTA ; ESPESSURA PONTA ; COR LARANJA";9608.20.00;PARCIAL
CANETA MARCA TEXTO - LILÁS;CANETA MARCA TEXTO - LILÁS;CMTEX;CANETA MARCA TEXTO;"CANETA MARCA TEXTO; MATERIAL CORPO PLASTICO; TIPO ; TIPO PONTA ; ESPESSURA PONTA ; COR LILAS";9608.20.00;PARCIAL
CANETA MARCA TEXTO - ROSA;CANETA MARCA TEXTO - ROSA;CMTEX;CANETA MARCA TEXTO;"CANETA MARCA TEXTO; MATERIAL CORPO PLASTICO; TIPO ; TIPO PONTA ; ESPESSURA PONTA ; COR ROSA";9608.20.00;PARCIAL
CANETA MARCA TEXTO - VERDE;CANETA MARCA TEXTO - VERDE;CMTEX;CANETA MARCA TEXTO;"CANETA MARCA TEXTO; MATERIAL CORPO PLASTICO; TIPO ; TIPO PONTA ; ESPESSURA PONTA ; COR VERDE";9608.20.00;PARCIAL
CANETA MARCA TEXTO - VERMELHO;CANETA MARCA TEXTO - VERMELHO;CMTEX;CANETA MARCA TEXTO;"CANETA MARCA TEXTO; MATERIAL CORPO PLASTICO; TIPO ; TIPO PONTA ; ESPESSURA PONTA ; COR VERMELHO";9608.20.00;PARCIAL
CANETA MARCADOR CDS/DVDS 1MM PRETA;CANETA MARCADOR CDS/DVDS 1MM PRETA;MCANE;CANETA MARCADORA;"CANETA MARCADORA; TIPO MARCACAO PERMANENTE; TAMANHO 1MM; TINTA BASE ALCOOL; APLICACAO CD/DVD-VIDRO-PLASTICO-ACRILICO-VINIL; COR PRETO";;TOTAL
CANETA MARCADOR QDO BRANCO AZUL;CANETA MARCADOR QDO BRANCO AZUL;MQBRA;PINCEL MARCADOR QUADRO BRANCO;"PINCEL QUADRO BRANCO; COR AZUL; TIPO ; MATERIAL PONTA ; ESPESSURA ESCRITA ; FABRICANTE-REFERENCIA";9608.20.00;PARCIAL
CANETA MARCADOR QDO BRANCO PRETO;CANETA MARCADOR QDO BRANCO PRETO;MQBRA;PINCEL MARCADOR QUADRO BRANCO;"PINCEL QUADRO BRANCO; COR PRETO; TIPO ; MATERIAL PONTA ; ESPESSURA ESCRITA ; FABRICANTE-REFERENCIA";9608.20.00;PARCIAL
CANETA MARCADOR QDO BRANCO VERDE;CANETA MARCADOR QDO BRANCO VERDE;MQBRA;PINCEL MARCADOR QUADRO BRANCO;"PINCEL QUADRO BRANCO; COR VERDE; TIPO ; MATERIAL PONTA ; ESPESSURA ESCRITA ; FABRICANTE-REFERENCIA";9608.20.00;PARCIAL
CANETA MARCADOR QDO BRANCO VERMELHO;CANETA MARCADOR QDO BRANCO VERMELHO;MQBRA;PINCEL MARCADOR QUADRO BRANCO;"PINCEL QUADRO BRANCO; COR VERMELHO; TIPO ; MATERIAL PONTA ; ESPESSURA ESCRITA ; FABRICANTE-REFERENCIA";9608.20.00;PARCIAL
CANETA P/RETRO PROJETOR PRETA;CANETA P/RETRO PROJETOR PRETA;CRPRO;CANETA RETROPROJETOR;"CANETA RETROPROJETOR, ESPESSURA PONTA; COR PRETO; BORRACHA SEM BORRACHA";9608.20.00;PARCIAL
CANETA RETROPROJETOR MED AZUL;CANETA RETROPROJETOR MED AZUL;CRPRO;CANETA RETROPROJETOR;"CANETA RETROPROJETOR, ESPESSURA PONTA (MEDIA) 2MM; COR AZUL; BORRACHA SEM BORRACHA";9608.20.00;TOTAL
CANETA RETROPROJETOR MED VERMELHA;CANETA RETROPROJETOR MED VERMELHA;CRPRO;CANETA RETROPROJETOR;"CANETA RETROPROJETOR, ESPESSURA PONTA (MEDIA) 2MM; COR VERMELHO; BORRACHA SEM BORRACHA";9608.20.00;TOTAL
CARBONO PAPEL OFICIO C/100FLS PRETO;CARBONO PAPEL OFICIO C/100FLS PRETO;SEM PDM;SEM PDM;;;BACKLOG
CARIMBO COLOP 10 - 10 X 26 MM;CARIMBO COLOP 10 - 10 X 26 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 10 X 26MM; FABRICANTE-REFERENCIA COLOP-C10";9611.00.00;PARCIAL
CARIMBO COLOP 15 - 10 X 70 MM;CARIMBO COLOP 15 - 10 X 70 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 10 X 70MM; FABRICANTE-REFERENCIA COLOP-C15";9611.00.00;PARCIAL
CARIMBO COLOP 20 - 14 X 38 MM;CARIMBO COLOP 20 - 14 X 38 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 14 X 38MM; FABRICANTE-REFERENCIA COLOP-C20";9611.00.00;PARCIAL
CARIMBO COLOP 25 - 15 X 75 MM;CARIMBO COLOP 25 - 15 X 75 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 15 X 75MM; FABRICANTE-REFERENCIA COLOP-C25";9611.00.00;PARCIAL
CARIMBO COLOP 30 - 18 X 47 MM;CARIMBO COLOP 30 - 18 X 47 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 18 X 47MM; FABRICANTE-REFERENCIA COLOP-C30";9611.00.00;PARCIAL
CARIMBO COLOP 40 - 22 X 58 MM;CARIMBO COLOP 40 - 22 X 58 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 22 X 58MM; FABRICANTE-REFERENCIA COLOP-C40";9611.00.00;PARCIAL
CARIMBO COLOP 45 - 25 X 82 MM;CARIMBO COLOP 45 - 25 X 82 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 25 X 82MM; FABRICANTE-REFERENCIA COLOP-C45";9611.00.00;PARCIAL
CARIMBO COLOP 50 - 25 X 70 MM;CARIMBO COLOP 50 - 25 X 70 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 25 X 70MM; FABRICANTE-REFERENCIA COLOP-C50";9611.00.00;PARCIAL
CARIMBO COLOP 52 - 20 X 30 MM;CARIMBO COLOP 52 - 20 X 30 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 20 X 30MM; FABRICANTE-REFERENCIA COLOP-C52";9611.00.00;PARCIAL
CARIMBO COLOP 53 - 30 X 45 MM;CARIMBO COLOP 53 - 30 X 45 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 30 X 45MM; FABRICANTE-REFERENCIA COLOP-C53";9611.00.00;PARCIAL
CARIMBO COLOP 55 - 40 X 60 MM;CARIMBO COLOP 55 - 40 X 60 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 40 X 60MM; FABRICANTE-REFERENCIA COLOP-C55";9611.00.00;PARCIAL
CARIMBO COLOP 60 - 38 X 75 MM;CARIMBO COLOP 60 - 38 X 75 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA ; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA 38 X 75MM; FABRICANTE-REFERENCIA COLOP-C60";9611.00.00;PARCIAL
CARIMBO COLOP DATADOR Q30 - 30 X 30 MM;CARIMBO COLOP DATADOR Q30 - 30 X 30 MM;CNDAT;CARIMBO NUMERADOR / DATADOR;"CARIMBO NUMERADOR / DATADOR; TIPO DATADOR E TEXTO; MATERIAL CORPO PLASTICO; FUNCIONAMENTO AUTO ENTINTADO; QUANTIDADE DIGITOS/FITAS 6 DIGITOS; TAMANHO ALGARISMO 3MM; EMPUNHADOR PLASTICO; FABRICANTE-REFERENCIA COLOP-Q30";9611.00.00;TOTAL
CARIMBO COLOP DATADOR Q43 - 43 X 43 MM;CARIMBO COLOP DATADOR Q43 - 43 X 43 MM;CNDAT;CARIMBO NUMERADOR / DATADOR;"CARIMBO NUMERADOR / DATADOR; TIPO DATADOR E TEXTO; MATERIAL CORPO PLASTICO; FUNCIONAMENTO AUTO ENTINTADO; QUANTIDADE DIGITOS/FITAS 8 DIGITOS; TAMANHO ALGARISMO 3MM; EMPUNHADOR PLASTICO; FABRICANTE-REFERENCIA COLOP-Q43";9611.00.00;TOTAL
CARIMBO COLOP POCKET;CARIMBO COLOP POCKET;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA PRETO; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO RETANGULAR; DIMENSAO PLACA MM; FABRICANTE-REFERENCIA COLOP-POCKET";9611.00.00;PARCIAL
CARIMBO COLOP Q12 / R12 - 12 X 12 MM;CARIMBO COLOP Q12 / R12 - 12 X 12 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA PRETO; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO QUADRADO; DIMENSAO PLACA 12 X 12MM; FABRICANTE-REFERENCIA COLOP-Q12";9611.00.00;TOTAL
CARIMBO COLOP Q17 / R17 - 17 X 17 MM;CARIMBO COLOP Q17 / R17 - 17 X 17 MM;CESTO;CARIMBO ESTOJO/AUTOMATICO;"CARIMBO ESTOJO/AUTOMATICO; MODELO AUTO-ENTINTADO; COR ALMOFADA EMBUTIDA PRETO; MATERIAL CORPO PLASTICO; FORMATO PLACA TEXTO QUADRADO; DIMENSAO PLACA 17 X 17MM; FABRICANTE-REFERENCIA COLOP-Q17";9611.00.00;TOTAL
CARIMBO COLOP Q30 / R30 - 30 X 30 MM;CARIMBO COLOP Q30 / R30 - 30 X 30 MM;CNDAT;CARIMBO NUMERADOR / DATADOR;"CARIMBO NUMERADOR / DATADOR; TIPO DATADOR E TEXTO; MATERIAL CORPO PLASTICO; FUNCIONAMENTO AUTO ENTINTADO; QUANTIDADE DIGITOS/FITAS 6 DIGITOS; TAMANHO ALGARISMO 3MM; EMPUNHADOR PLASTICO; FABRICANTE-REFERENCIA COLOP-Q30";9611.00.00;DUPLICADO
CARIMBO COLOP Q43 - 43 X 43 MM;CARIMBO COLOP Q43 - 43 X 43 MM;CNDAT;CARIMBO NUMERADOR / DATADOR;"CARIMBO NUMERADOR / DATADOR; TIPO DATADOR E TEXTO; MATERIAL CORPO PLASTICO; FUNCIONAMENTO AUTO ENTINTADO; QUANTIDADE DIGITOS/FITAS 8 DIGITOS; TAMANHO ALGARISMO 3MM; EMPUNHADOR PLASTICO; FABRICANTE-REFERENCIA COLOP-Q43";9611.00.00;DUPLICADO
CARIMBO DE MADEIRA GRANDE - 30 A 80 CM2;CARIMBO DE MADEIRA GRANDE - 30 A 80 CM2;CESTO;CARIMBO ESTOJO/AUTOMATICO;;9611.00.00;INFORMAÇÕES INSUFICIENTES
CARTOLINA - AZUL;CARTOLINA 50x56 - AZUL;CARTO;CARTOLINA;"CARTOLINA; GRAMATURA 150G/M²; COR AZUL; DIMENSOES (L X C) 50 X 66CM; FORNECIMENTO UNIDADE";4807.57.99;TOTAL
CARTOLINA - BRANCA;CARTOLINA 50x56 - BRANCA;CARTO;CARTOLINA;"CARTOLINA; GRAMATURA 150G/M²; COR BRANCO; DIMENSOES (L X C) 50 X 66CM; FORNECIMENTO UNIDADE";4807.57.99;TOTAL
CARTOLINA - ROSA;CARTOLINA 50x56 - ROSA;CARTO;CARTOLINA;"CARTOLINA; GRAMATURA 150G/M²; COR ROSA; DIMENSOES (L X C) 50 X 66CM; FORNECIMENTO UNIDADE";4807.57.99;TOTAL
CARTOLINA - VERDE;CARTOLINA 50x56 - VERDE;CARTO;CARTOLINA;"CARTOLINA; GRAMATURA 150G/M²; COR VERDE; DIMENSOES (L X C) 50 X 66CM; FORNECIMENTO UNIDADE";4807.57.99;TOTAL
CARTOLINA BRANCA;CARTOLINA BRANCA;CARTO;CARTOLINA;"CARTOLINA; GRAMATURA 180G/M²; COR BRANCO; DIMENSOES (L X C) 50 X 66CM; FORNECIMENTO UNIDADE";4807.57.99;TOTAL
CARTOLINA EM CORES MISTAS PCT 100 UN;CARTOLINA EM CORES MISTAS PCT 100 UN;CARTO;CARTOLINA;"CARTOLINA; GRAMATURA 180G/M²; COR MULTICOR; DIMENSOES (L X C) 50 X 66CM; FORNECIMENTO PACOTE 100 FOLHAS";4807.57.99;TOTAL
CARTUCHO AMARE IMPRESS HP OFFIC JET 8100;CARTUCHO AMARE IMPRESS HP OFFIC JET 8100;CTIMP;CARTUCHO / TONER IMPRESSAO;"CARTUCHO / TONER IMPRESSAO; APLICACAO IMPRESSORA; TIPO ORIGINAL; COR AMARELO; REFERENCIA; FABRICANTE HP";8443.99.23;PARCIAL
CARTUCHO AZUL IMPRESS HP OFFICE JET 8100;CARTUCHO AZUL IMPRESS HP OFFICE JET 8100;CTIMP;CARTUCHO / TONER IMPRESSAO;"CARTUCHO / TONER IMPRESSAO; APLICACAO IMPRESSORA; TIPO ORIGINAL; COR AZUL; REFERENCIA; FABRICANTE HP";8443.99.23;PARCIAL
CARTUCHO DE TINTA HP 122XL 8ML PRETO CH5;CARTUCHO DE TINTA HP 122XL 8ML PRETO CH5;CTIMP;CARTUCHO / TONER IMPRESSAO;"CARTUCHO / TONER IMPRESSAO; APLICACAO IMPRESSORA; TIPO ORIGINAL; COR PRETO; VOLUME 8ML; REFERENCIA 122XL (CH563HB); FABRICANTE HP";8443.99.23;TOTAL
CARTUCHO DE TINTA HP -662XL-TRICOLOR;CARTUCHO DE TINTA HP -662XL-TRICOLOR;CTIMP;CARTUCHO / TONER IMPRESSAO;"CARTUCHO / TONER IMPRESSAO; APLICACAO IMPRESSORA; TIPO ORIGINAL; COR COLORIDO; REFERENCIA 662XL; FABRICANTE HP";8443.99.23;TOTAL
CARTUCHO MAGEN IMPRESS HP OFFIC JET 8100;CARTUCHO MAGEN IMPRESS HP OFFIC JET 8100;CTIMP;CARTUCHO / TONER IMPRESSAO;"CARTUCHO / TONER IMPRESSAO; APLICACAO IMPRESSORA; TIPO ORIGINAL; COR MAGENTA; REFERENCIA; FABRICANTE HP";8443.99.23;PARCIAL
CARTUCHO PRETO IMPRESS HP OFFIC JET 8100;CARTUCHO PRETO IMPRESS HP OFFIC JET 8100;CTIMP;CARTUCHO / TONER IMPRESSAO;"CARTUCHO / TONER IMPRESSAO; APLICACAO IMPRESSORA; TIPO ORIGINAL; COR PRETO; REFERENCIA; FABRICANTE HP";8443.99.23;PARCIAL
CD REGRAVAVEL CDRW 4X74 MIN 700MB;CD REGRAVAVEL CDRW 4X74 MIN 700MB;SEM PDM;SEM PDM;;;BACKLOG
CD-R VIRGEM;CD-R VIRGEM;SEM PDM;SEM PDM;;;BACKLOG
CELOFANE - AMARELA;CELOFANE - 85x100 AMARELA;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR AMARELO; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CELOFANE - AZUL;CELOFANE - 85x100 AZUL;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR AZUL; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CELOFANE - INCOLOR;CELOFANE - 85x100 INCOLOR;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR INCOLOR; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CELOFANE - LILÁS;CELOFANE - 85x100 LILÁS;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR LILAS; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CELOFANE - PRETA;CELOFANE - 85x100 PRETA;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR PRETO; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CELOFANE - ROXA;CELOFANE - 85x100 ROXA;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR ROXO; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CELOFANE - VERDE;CELOFANE - 85x100 VERDE;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR VERDE; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CELOFANE - VERMELHA;CELOFANE - 85x100 VERMELHA;PCELO;PAPEL CELOFANE;"PAPEL CELOFANE; COR VERMELHO; LARGURA 85CM; COMPRIMENTO 100CM";3920.20.19;TOTAL
CHAVEIRO PLAST C/ETIQUETA POTE C/24;CHAVEIRO PLAST C/ETIQUETA POTE C/24;SEM PDM;SEM PDM;;;BACKLOG
CLIPS DOURADO CX C/ 50 UNIDADES;CLIPS DOURADO CX C/ 50 UNIDADES;CLIPS;CLIPE PRENDEDOR PAPEL;"CLIPE PRENDEDOR PAPEL; TIPO NORMAL; MATERIAL ACO CARBONO; TRATAMENTO NIQUELADO; TAMANHO ; EMBALAGEM CAIXA 50 UNIDADES";;PARCIAL
CLIPS N 2/0 GALVANIZADO 500GR;CLIPS N 2/0 GALVANIZADO 500GR;CLIPS;CLIPE PRENDEDOR PAPEL;"CLIPE PRENDEDOR PAPEL; TIPO NORMAL; MATERIAL ACO CARBONO; TRATAMENTO GALVANIZADO; TAMANHO NUMERO 2/0; EMBALAGEM CAIXA 500G";;TOTAL
CLIPS N 4/0 GALVANIZADO 500GR;CLIPS N 4/0 GALVANIZADO 500GR;CLIPS;CLIPE PRENDEDOR PAPEL;"CLIPE PRENDEDOR PAPEL; TIPO NORMAL; MATERIAL ACO CARBONO; TRATAMENTO GALVANIZADO; TAMANHO NUMERO 4/0; EMBALAGEM CAIXA 500G";;TOTAL
CLIPS N 6/0 GALVANIZADO 500GR;CLIPS N 6/0 GALVANIZADO 500GR;CLIPS;CLIPE PRENDEDOR PAPEL;"CLIPE PRENDEDOR PAPEL; TIPO NORMAL; MATERIAL ACO CARBONO; TRATAMENTO GALVANIZADO; TAMANHO NUMERO 6/0; EMBALAGEM CAIXA 500G";;TOTAL
CLIPS N 8/0 GALVANIZADO 500GR;CLIPS N 8/0 GALVANIZADO 500GR;CLIPS;CLIPE PRENDEDOR PAPEL;"CLIPE PRENDEDOR PAPEL; TIPO NORMAL; MATERIAL ACO CARBONO; TRATAMENTO GALVANIZADO; TAMANHO NUMERO 8/0; EMBALAGEM CAIXA 500G";;TOTAL
CLÍPS RETRÁTIL RESINADO;CLÍPS RETRÁTIL RESINADO;SEM PDM;SEM PDM;;;BACKLOG
COLA BASTÃO 10GR;COLA BASTÃO 10GR;CBAST;COLA BASTAO ESCOLAR/ESCRITORIO;"COLA BASTAO; COMPOSICAO POLIACETATO VINILA; EMBALAGEM 10G";3506.10.90;TOTAL
COLA BRANCA 1 KG LAVÁVEL TENAZ 224002 H;COLA BRANCA 1 KG LAVÁVEL TENAZ 224002 H;COPVA;COLA LIQUIDA PVA;"COLA LIQUIDA PVA; MATERIAL APLICACAO PAPEL/MADEIRA; COR BRANCO; FORNECIMENTO 1KG; FABRICANTE-REFERENCIA HENKEL-TENAZ 224002";3509.10.90;TOTAL
COLA BRANCA LAVAVEL 35GRS;COLA BRANCA LAVAVEL 35GRS;COPVA;COLA LIQUIDA PVA;"COLA LIQUIDA PVA; MATERIAL APLICACAO PAPEL/MADEIRA; COR BRANCO; FORNECIMENTO 35G; FABRICANTE-REFERENCIA HENKEL-TENAZ";3509.10.90;TOTAL
COLA COLORIDA 25G C/GLITER 6 CORES ACRIL;COLA COLORIDA 25G C/GLITER 6 CORES ACRIL;COPVA;COLA LIQUIDA PVA;"COLA LIQUIDA PVA; MATERIAL APLICACAO ATIVIDADES ARTISTICA COR COLORIDA C/GLITER; FORNECIMENTO (6CORES) 25G";3509.10.90;TOTAL
COLA SUPER BOND 05GR;COLA SUPER BOND 05GR;ACONT;ADESIVO / COLA CONTATO;"ADESIVO / COLA CONTATO; ESTADO FISICO LIQUIDO; COMPOSICAO QUIMICA CIANOACRILATO; COR INCOLOR; FORMA FORNECIMENTO 5G; FABRICANTE-REFERENCIA LOCTITE-SUPER BONDER";3506.10.10;TOTAL
CONTACT CRISTAL C/ 10M;CONTACT CRISTAL C/ 10M;PCONT;PAPEL CONTATO;"PAPEL CONTATO; MATERIAL LAMINA CLORETO POLIVINILA; MATERIAL VERSO PAPEL SILICONADO; LARGURA 45CM, COMPRIMENTO 10M; COR/ESTAMPA CRISTAL";;TOTAL
CONTACT CRISTAL C/ 25M;CONTACT CRISTAL C/ 25M;PCONT;PAPEL CONTATO;"PAPEL CONTATO; MATERIAL LAMINA CLORETO POLIVINILA; MATERIAL VERSO PAPEL SILICONADO; LARGURA 45CM, COMPRIMENTO 25M; COR/ESTAMPA CRISTAL";;TOTAL
COPO ÁGUA DESCARTÁVEL - REFORÇADO;COPO DESCARTÁVEL 200ML REFORÇADO;CDESC;COPO DESCARTAVEL;"COPO DESCARTAVEL; MATERIAL PLASTICO REFORCADO; COR BRANCO; CAPACIDADE 200ML; TAMPA SEM TAMPA ";3924.10.00;TOTAL
COPO CAFÉ DESCARTÁVEL  - REFORÇADO;COPO DESCARTÁVEL 50ML REFORÇADO;CDESC;COPO DESCARTAVEL;"COPO DESCARTAVEL; MATERIAL PLASTICO REFORCADO; COR BRANCO; CAPACIDADE 50ML; TAMPA SEM TAMPA ";3924.10.00;TOTAL
CORRETIVO LIQ 18ML;CORRETIVO LIQ 18ML;CESCO;CORRETIVO LIQUIDO;"CORRETIVO LIQUIDO; BASE AGUA; FORNECIMENTO 18ML; APLICADOR PINCEL";3824.99.29;TOTAL
DIÁRIO DE CLASSE MENSAL PEQUENO 12 FLS 1;DIÁRIO DE CLASSE MENSAL PEQUENO 12 FLS 1;SEM PDM;SEM PDM;;;BACKLOG
DISPLAY ACRILICO A4 DE PAREDE P/1FL;DISPLAY ACRILICO A4 DE PAREDE P/1FL;SEM PDM;SEM PDM;;;BACKLOG
"DISPLAY DE MESA MOD ""V"" HORIZONTAL 10X15";"DISPLAY ACRILICO DE MESA FORMATO ""V"" 10X15";SEM PDM;SEM PDM;;;BACKLOG
DISPLAY DE MESA MOD L-HORIZONTALA4 30X21;"DISPLAY ACRILICO DE MESA FORMATO ""L"" 30X21";SEM PDM;SEM PDM;;;BACKLOG
DISPLAY ESCRITORIO TRIPLO 860 CRISTAL;DISPLAY ESCRITORIO TRIPLO 860 CRISTAL;SEM PDM;SEM PDM;;;BACKLOG
DIVISÓRIA P/FICHARIO PACOTE C/6 A4;DIVISÓRIA P/FICHARIO PACOTE C/6 A4;DPARQ;DIVISORIA PROJECAO PASTA ARQUIVO;"DIVISORIA PROJECAO PASTA ARQUIVO; MATERIAL PLASTICO; DIMENSAO A4 210X297MM; QUANTIDADE DIVISORIAS 6 PROJECOES.; FUROS; COR;  INDICE; EMBALAGEM";;PARCIAL
